"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,414,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,177,100",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,772,500",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,428,200",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,151,300",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,380,300",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,254,900",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,445,600",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,711,800",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,437,100",""
