"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","139",""
"SURVEY","2021","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","112",""
"SURVEY","2021","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","115",""
"SURVEY","2021","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","116",""
"SURVEY","2021","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","121",""
"SURVEY","2021","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","121",""
"SURVEY","2021","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","123",""
"SURVEY","2021","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","125",""
"SURVEY","2021","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","125",""
"SURVEY","2021","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","127",""
