"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,163,700",""
"SURVEY","2022","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,481,500",""
"SURVEY","2021","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,803,100",""
"SURVEY","2020","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,808,900",""
"SURVEY","2019","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,884,900",""
"SURVEY","2018","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","6,108,200",""
"SURVEY","2017","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","6,363,200",""
"SURVEY","2016","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","6,335,200",""
"SURVEY","2015","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","6,086,400",""
"SURVEY","2014","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,556,300",""
"SURVEY","2013","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,429,200",""
"SURVEY","2012","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,280,600",""
"SURVEY","2011","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,134,600",""
"SURVEY","2010","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,443,000",""
"SURVEY","2009","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,550,200",""
"SURVEY","2008","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,646,600",""
"SURVEY","2007","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,835,400",""
"SURVEY","2006","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,863,500",""
"SURVEY","2005","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,638,100",""
"SURVEY","2004","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","5,508,300",""
