"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,825,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,445,400",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,818,900",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,166,800",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","8,611,100",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","7,698,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","7,351,300",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","8,376,600",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,131,500",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,269,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,725,800",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","10,046,900",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,743,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","10,090,900",""
