"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,671,200",""
"SURVEY","2019","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,757,700",""
"SURVEY","2018","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,528,200",""
"SURVEY","2017","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,373,500",""
"SURVEY","2016","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,305,400",""
"SURVEY","2015","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","15,629,500",""
"SURVEY","2014","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","15,622,900",""
"SURVEY","2013","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","15,930,500",""
"SURVEY","2012","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","15,956,500",""
"SURVEY","2011","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,394,000",""
"SURVEY","2010","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,568,400",""
"SURVEY","2009","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,809,100",""
"SURVEY","2008","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","17,163,200",""
"SURVEY","2007","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","17,184,500",""
"SURVEY","2006","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,988,100",""
"SURVEY","2005","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,465,800",""
"SURVEY","2004","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,201,300",""
"SURVEY","2003","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS, GE 500 LBS - INVENTORY","TOTAL","NOT SPECIFIED","16,554,100",""
