Report Date,Average Weight,Average Price
02/08/2023,"1,330",156.05
02/08/2023,"1,249",156.15
02/08/2023,,
02/08/2023,,
02/08/2023,"1,329",155.35
02/08/2023,"1,223",155.39
02/08/2023,,
02/08/2023,,
02/08/2023,"1,365",136.86
02/08/2023,"1,265",137.07
02/08/2023,,
02/08/2023,,
01/06/2023,"1,329",155.35
01/06/2023,"1,223",155.39
01/06/2023,,
01/06/2023,,
01/06/2023,"1,350",151.73
01/06/2023,"1,250",151.74
01/06/2023,,
01/06/2023,,
01/06/2023,"1,373",138.53
01/06/2023,"1,257",139.38
01/06/2023,,
01/06/2023,,
12/08/2022,"1,350",151.73
12/08/2022,"1,250",151.74
12/08/2022,,
12/08/2022,,
12/08/2022,"1,369",146.53
12/08/2022,"1,254",145.32
12/08/2022,,
12/08/2022,,
12/08/2022,"1,360",133.52
12/08/2022,"1,196",133.56
12/08/2022,,
12/08/2022,,
11/04/2022,"1,369",146.53
11/04/2022,"1,254",145.32
11/04/2022,,
11/04/2022,,
11/04/2022,"1,361",142.30
11/04/2022,"1,250",142.20
11/04/2022,,
11/04/2022,,
11/04/2022,"1,351",124.25
11/04/2022,"1,210",124.20
11/04/2022,,
11/04/2022,,
10/05/2022,"1,361",142.30
10/05/2022,"1,250",142.20
10/05/2022,,
10/05/2022,,
10/05/2022,"1,346",139.47
10/05/2022,"1,219",140.02
10/05/2022,,
10/05/2022,,
10/05/2022,"1,367",123.86
10/05/2022,"1,238",123.92
10/05/2022,,
10/05/2022,,
09/07/2022,"1,346",139.47
09/07/2022,"1,219",140.02
09/07/2022,,
09/07/2022,,
09/07/2022,"1,331",136.19
09/07/2022,"1,211",136.41
09/07/2022,,
09/07/2022,,
09/07/2022,"1,339",121.24
09/07/2022,"1,217",121.14
09/07/2022,,
09/07/2022,,
08/05/2022,"1,331",136.19
08/05/2022,"1,211",136.41
08/05/2022,,
08/05/2022,,
08/05/2022,"1,335",136.92
08/05/2022,"1,226",137.07
08/05/2022,,
08/05/2022,,
08/05/2022,"1,350",119.30
08/05/2022,"1,228",119.67
08/05/2022,,
08/05/2022,,
07/06/2022,"1,335",136.92
07/06/2022,"1,226",137.07
07/06/2022,,
07/06/2022,,
07/06/2022,"1,345",138.42
07/06/2022,"1,231",138.10
07/06/2022,,
07/06/2022,,
07/06/2022,"1,320",120.52
07/06/2022,"1,236",120.67
07/06/2022,,
07/06/2022,,
06/07/2022,"1,345",138.42
06/07/2022,"1,231",138.10
06/07/2022,,
06/07/2022,,
06/07/2022,"1,369",139.44
06/07/2022,"1,216",139.38
06/07/2022,,
06/07/2022,,
06/07/2022,"1,324",119.07
06/07/2022,"1,224",119.11
06/07/2022,,
06/07/2022,,
05/04/2022,"1,369",139.44
05/04/2022,"1,216",139.38
05/04/2022,,
05/04/2022,,
05/04/2022,"1,398",138.36
05/04/2022,"1,245",138.20
05/04/2022,,
05/04/2022,,
05/04/2022,"1,312",119.61
05/04/2022,"1,209",119.43
05/04/2022,,
05/04/2022,,
04/06/2022,"1,398",138.36
04/06/2022,"1,245",138.20
04/06/2022,,
04/06/2022,,
04/06/2022,"1,388",140.76
04/06/2022,"1,242",140.94
04/06/2022,,
04/06/2022,,
04/06/2022,"1,297",114.31
04/06/2022,"1,200",114.59
04/06/2022,,
04/06/2022,,
03/09/2022,"1,388",140.76
03/09/2022,"1,242",140.94
03/09/2022,,
03/09/2022,,
03/09/2022,"1,365",136.86
03/09/2022,"1,265",137.07
03/09/2022,,
03/09/2022,,
03/09/2022,"1,326",113.98
03/09/2022,"1,216",114.03
03/09/2022,,
03/09/2022,,
02/02/2022,"1,365",136.86
02/02/2022,"1,265",137.07
02/02/2022,,
02/02/2022,,
02/02/2022,"1,373",138.53
02/02/2022,"1,257",139.38
02/02/2022,,
02/02/2022,,
02/02/2022,"1,361",111.47
02/02/2022,"1,229",111.58
02/02/2022,,
02/02/2022,,
01/06/2022,"1,373",138.53
01/06/2022,"1,257",139.38
01/06/2022,,
01/06/2022,,
01/06/2022,"1,360",133.52
01/06/2022,"1,196",133.56
01/06/2022,,
01/06/2022,,
01/06/2022,"1,352",110.01
01/06/2022,"1,214",110.46
01/06/2022,,
01/06/2022,,
12/08/2021,"1,360",133.52
12/08/2021,"1,196",133.56
12/08/2021,,
12/08/2021,,
12/08/2021,"1,351",124.25
12/08/2021,"1,210",124.20
12/08/2021,,
12/08/2021,,
12/08/2021,"1,352",109.46
12/08/2021,"1,184",109.72
12/08/2021,,
12/08/2021,,
11/09/2021,"1,351",124.25
11/09/2021,"1,210",124.20
11/09/2021,,
11/09/2021,,
11/09/2021,"1,367",123.86
11/09/2021,"1,238",123.92
11/09/2021,,
11/09/2021,,
11/09/2021,"1,368",107.45
11/09/2021,"1,223",107.69
11/09/2021,,
11/09/2021,,
10/05/2021,"1,367",123.86
10/05/2021,"1,238",123.92
10/05/2021,,
10/05/2021,,
10/05/2021,"1,339",121.24
10/05/2021,"1,217",121.14
10/05/2021,,
10/05/2021,,
10/05/2021,"1,343",104.04
10/05/2021,"1,222",104.38
10/05/2021,,
10/05/2021,,
09/03/2021,"1,339",121.24
09/03/2021,"1,217",121.14
09/03/2021,,
09/03/2021,,
09/03/2021,"1,350",119.30
09/03/2021,"1,228",119.67
09/03/2021,,
09/03/2021,,
09/03/2021,"1,366",103.74
09/03/2021,"1,241",103.60
09/03/2021,850,163.13
09/03/2021,,
08/04/2021,"1,350",119.30
08/04/2021,"1,228",119.67
08/04/2021,,
08/04/2021,,
