Report Date,Class Description,Selling Basis,Grade Description,Previous Month Confirmed,Average Weight,Weighted Avg Price
02/08/2023,STEER,LIVE FOB,Over 80% Choice,"1,274","1,354",155.77
02/08/2023,STEER,LIVE FOB,65 - 80% Choice,"7,069","1,358",156.05
02/08/2023,STEER,LIVE FOB,35 - 65% Choice,"3,361","1,260",156.18
02/08/2023,STEER,LIVE FOB, 0 - 35% Choice,,,
02/08/2023,STEER,LIVE FOB,Total all grades,"11,704","1,330",156.05
02/08/2023,STEER,LIVE DELIVERED,Over 80% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,65 - 80% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,35 - 65% Choice,,,
02/08/2023,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,Total all grades,,,
02/08/2023,STEER,DRESSED DELIVERED,Over 80% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,Total all grades,,,
02/08/2023,STEER,DRESSED FOB,Over 80% Choice,,,
02/08/2023,STEER,DRESSED FOB,65 - 80% Choice,,,
02/08/2023,STEER,DRESSED FOB,35 - 65% Choice,,,
02/08/2023,STEER,DRESSED FOB, 0 - 35% Choice,,,
02/08/2023,STEER,DRESSED FOB,Total all grades,,,
02/08/2023,HEIFER,LIVE FOB,Over 80% Choice,"3,113","1,243",156.45
02/08/2023,HEIFER,LIVE FOB,65 - 80% Choice,"3,804","1,253",155.91
02/08/2023,HEIFER,LIVE FOB,35 - 65% Choice,24,"1,325",156.00
02/08/2023,HEIFER,LIVE FOB, 0 - 35% Choice,,,
02/08/2023,HEIFER,LIVE FOB,Total all grades,"6,941","1,249",156.15
02/08/2023,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,Total all grades,,,
02/08/2023,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,Total all grades,,,
