Report Date,Region Name,Grade,Weight Range,Live Wtd Avg Price
03/03/2023,NORTHWEST,Premium White,All weights,
03/03/2023,NORTHWEST,Breaker (75% lean),All weights,
03/03/2023,SOUTHWEST,Premium White,All weights,
03/03/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/03/2023,EASTERN AREA,Premium White,All weights,83.04
03/03/2023,EASTERN AREA,Breaker (75% lean),All weights,
03/02/2023,NORTHWEST,Premium White,All weights,
03/02/2023,NORTHWEST,Breaker (75% lean),All weights,
03/02/2023,SOUTHWEST,Premium White,All weights,
03/02/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/02/2023,EASTERN AREA,Premium White,All weights,79.16
03/02/2023,EASTERN AREA,Breaker (75% lean),All weights,
03/01/2023,NORTHWEST,Premium White,All weights,
03/01/2023,NORTHWEST,Breaker (75% lean),All weights,
03/01/2023,SOUTHWEST,Premium White,All weights,
03/01/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/01/2023,EASTERN AREA,Premium White,All weights,84.55
03/01/2023,EASTERN AREA,Breaker (75% lean),All weights,84.11
02/28/2023,NORTHWEST,Premium White,All weights,
02/28/2023,NORTHWEST,Breaker (75% lean),All weights,
02/28/2023,SOUTHWEST,Premium White,All weights,
02/28/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/28/2023,EASTERN AREA,Premium White,All weights,87.69
02/28/2023,EASTERN AREA,Breaker (75% lean),All weights,84.52
02/27/2023,NORTHWEST,Premium White,All weights,
02/27/2023,NORTHWEST,Breaker (75% lean),All weights,
02/27/2023,SOUTHWEST,Premium White,All weights,
02/27/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/27/2023,EASTERN AREA,Premium White,All weights,
02/27/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/24/2023,NORTHWEST,Premium White,All weights,
02/24/2023,NORTHWEST,Breaker (75% lean),All weights,113.63
02/24/2023,SOUTHWEST,Premium White,All weights,
02/24/2023,SOUTHWEST,Breaker (75% lean),All weights,93.65
02/24/2023,EASTERN AREA,Premium White,All weights,80.44
02/24/2023,EASTERN AREA,Breaker (75% lean),All weights,102.56
02/23/2023,NORTHWEST,Premium White,All weights,
02/23/2023,NORTHWEST,Breaker (75% lean),All weights,
02/23/2023,SOUTHWEST,Premium White,All weights,
02/23/2023,SOUTHWEST,Breaker (75% lean),All weights,90.88
