Report Date,Region Name,Grade,Weight Range,Live Head Count,Live Wtd Avg Price
03/06/2023,SOUTHWEST,Premium White,All weights,,
03/06/2023,SOUTHWEST,Breaker (75% lean),All weights,5,98.05
03/06/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,128,97.75
03/06/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/06/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,50,93.67
03/06/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/06/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,1,98.05
03/03/2023,SOUTHWEST,Premium White,All weights,,
03/03/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/03/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
03/03/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/03/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,2,82.88
03/03/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/03/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
03/02/2023,SOUTHWEST,Premium White,All weights,,
03/02/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/02/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,65.00
03/02/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/02/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,3,70.58
03/02/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/02/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
03/01/2023,SOUTHWEST,Premium White,All weights,,
03/01/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/01/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
03/01/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/01/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,80.50
03/01/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/01/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,5,106.88
02/28/2023,SOUTHWEST,Premium White,All weights,,
02/28/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/28/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/28/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/28/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,1,89.00
02/28/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/28/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/27/2023,SOUTHWEST,Premium White,All weights,,
02/27/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/27/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,6,85.48
02/27/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/27/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,20,84.98
02/27/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/27/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,24,112.38
02/24/2023,SOUTHWEST,Premium White,All weights,,
02/24/2023,SOUTHWEST,Breaker (75% lean),All weights,7,93.65
02/24/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,76.50
02/24/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/24/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,3,64.87
02/24/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/24/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/23/2023,SOUTHWEST,Premium White,All weights,,
02/23/2023,SOUTHWEST,Breaker (75% lean),All weights,13,90.88
02/23/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,3,80.08
02/23/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/23/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,122,88.61
02/23/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/23/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/22/2023,SOUTHWEST,Premium White,All weights,,
02/22/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/22/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/22/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/22/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,2,81.82
02/22/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/22/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/21/2023,SOUTHWEST,Premium White,All weights,,
02/21/2023,SOUTHWEST,Breaker (75% lean),All weights,7,86.46
02/21/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,42,86.26
02/21/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/21/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,27,86.14
02/21/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/21/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/20/2023,SOUTHWEST,Premium White,All weights,,
02/20/2023,SOUTHWEST,Breaker (75% lean),All weights,5,90.82
02/20/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,50,91.23
02/20/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/20/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,85,90.29
02/20/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/20/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/17/2023,SOUTHWEST,Premium White,All weights,,
02/17/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/17/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,75,81.06
02/17/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/17/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,35,81.06
02/17/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/17/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/16/2023,SOUTHWEST,Premium White,All weights,,
02/16/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/16/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,21,86.72
02/16/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/16/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,122,85.81
02/16/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/16/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,3,89.35
02/15/2023,SOUTHWEST,Premium White,All weights,,
02/15/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/15/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,88.00
02/15/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/15/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,83.15
02/15/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/15/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/14/2023,SOUTHWEST,Premium White,All weights,,
02/14/2023,SOUTHWEST,Breaker (75% lean),All weights,1,86.79
02/14/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,7,86.82
02/14/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/14/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,30,86.79
02/14/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/14/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/13/2023,SOUTHWEST,Premium White,All weights,,
02/13/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/13/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,20,97.49
