Report Date,Region,Confirmed
03/06/2023,National,"11,043"
03/06/2023,Northwest,"2,777"
03/06/2023,Southwest,"5,375"
03/06/2023,Eastern Area,"2,891"
03/03/2023,National,"8,002"
03/03/2023,Northwest,"2,585"
03/03/2023,Southwest,"3,368"
03/03/2023,Eastern Area,"2,049"
03/02/2023,National,"6,883"
03/02/2023,Northwest,"2,457"
03/02/2023,Southwest,"2,790"
03/02/2023,Eastern Area,"1,636"
03/01/2023,National,"9,324"
03/01/2023,Northwest,"2,911"
03/01/2023,Southwest,"4,089"
03/01/2023,Eastern Area,"2,324"
02/28/2023,National,"10,010"
02/28/2023,Northwest,"3,980"
02/28/2023,Southwest,"3,519"
02/28/2023,Eastern Area,"2,511"
02/27/2023,National,"11,012"
02/27/2023,Northwest,"4,276"
02/27/2023,Southwest,"4,414"
02/27/2023,Eastern Area,"2,322"
02/24/2023,National,"7,891"
02/24/2023,Northwest,"1,771"
02/24/2023,Southwest,"3,293"
02/24/2023,Eastern Area,"2,827"
02/23/2023,National,"7,600"
02/23/2023,Northwest,"2,032"
02/23/2023,Southwest,"2,909"
02/23/2023,Eastern Area,"2,659"
02/22/2023,National,"9,430"
02/22/2023,Northwest,"2,592"
02/22/2023,Southwest,"4,850"
02/22/2023,Eastern Area,"1,988"
02/21/2023,National,"13,062"
02/21/2023,Northwest,"5,347"
02/21/2023,Southwest,"4,970"
02/21/2023,Eastern Area,"2,745"
02/20/2023,National,"9,324"
02/20/2023,Northwest,"2,893"
02/20/2023,Southwest,"3,739"
02/20/2023,Eastern Area,"2,692"
02/17/2023,National,"8,859"
02/17/2023,Northwest,"2,437"
02/17/2023,Southwest,"3,603"
02/17/2023,Eastern Area,"2,819"
02/16/2023,National,"8,466"
02/16/2023,Northwest,"2,165"
02/16/2023,Southwest,"3,856"
02/16/2023,Eastern Area,"2,445"
02/15/2023,National,"8,607"
02/15/2023,Northwest,"2,615"
02/15/2023,Southwest,"3,728"
02/15/2023,Eastern Area,"2,264"
02/14/2023,National,"10,839"
02/14/2023,Northwest,"4,683"
02/14/2023,Southwest,"3,115"
02/14/2023,Eastern Area,"3,041"
02/13/2023,National,"10,298"
02/13/2023,Northwest,"3,476"
02/13/2023,Southwest,"3,835"
02/13/2023,Eastern Area,"2,987"
02/10/2023,National,"9,546"
02/10/2023,Northwest,"3,299"
