"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,235,400",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,113,900",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,076,600",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,123,100",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,075,500",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","978,100",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","873,800",""
"SURVEY","2014","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","945,000",""
"SURVEY","2013","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,111,700",""
"SURVEY","2012","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,212,500",""
"SURVEY","2011","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,346,300",""
"SURVEY","2010","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,151,600",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,058,100",""
"SURVEY","2008","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,009,400",""
"SURVEY","2007","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","815,800",""
"SURVEY","2006","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","912,800",""
"SURVEY","2005","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, COWS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","705,300",""
