"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,850,300",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,777,400",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,899,100",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,688,900",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,432,700",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,275,600",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,338,200",""
"SURVEY","2014","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,569,000",""
"SURVEY","2013","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,755,300",""
"SURVEY","2012","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, HEIFERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,933,200",""
