"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","FIRST OF JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","70,000",""
"SURVEY","2023","FIRST OF JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","390,000",""
"SURVEY","2023","FIRST OF JAN","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","640,000",""
"SURVEY","2022","FIRST OF JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","70,000",""
"SURVEY","2022","FIRST OF JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","400,000",""
"SURVEY","2022","FIRST OF JAN","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","710,000",""
"SURVEY","2021","FIRST OF JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","75,000",""
"SURVEY","2021","FIRST OF JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","410,000",""
"SURVEY","2021","FIRST OF JAN","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","830,000",""
"SURVEY","2020","FIRST OF JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","80,000",""
"SURVEY","2020","FIRST OF JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","370,000",""
