"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,700,300",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,639,400",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,765,200",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,908,900",""
"SURVEY","2017","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,019,100",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,050,700",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,748,700",""
"SURVEY","2014","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,670,500",""
"SURVEY","2013","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,913,800",""
"SURVEY","2012","YEAR","","REGION : MULTI-STATE","","","","","","","","REGION 6 (AR LA NM OK TX)","00000000","","CATTLE","CATTLE, STEERS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,231,200",""
