Attribute,Commodity,Commodity type,Unit,YearType,Year,Value
Beginning stocks,Barley,Crops,Million bushels,Market year,2020/21,80
Beginning stocks,Barley,Crops,Million bushels,Market year,2021/22,71
Beginning stocks,Barley,Crops,Million bushels,Market year,2022/23,60
Beginning stocks,Barley,Crops,Million bushels,Market year,2023/24,68
Beginning stocks,Barley,Crops,Million bushels,Market year,2024/25,73
Beginning stocks,Barley,Crops,Million bushels,Market year,2025/26,79
Beginning stocks,Barley,Crops,Million bushels,Market year,2026/27,82
Beginning stocks,Barley,Crops,Million bushels,Market year,2027/28,81
Beginning stocks,Barley,Crops,Million bushels,Market year,2028/29,81
Beginning stocks,Barley,Crops,Million bushels,Market year,2029/30,83
Beginning stocks,Barley,Crops,Million bushels,Market year,2030/31,81
Beginning stocks,Barley,Crops,Million bushels,Market year,2031/32,81
Domestic use,Barley,Crops,Million bushels,Market year,2020/21,172
Domestic use,Barley,Crops,Million bushels,Market year,2021/22,125
Domestic use,Barley,Crops,Million bushels,Market year,2022/23,160
Domestic use,Barley,Crops,Million bushels,Market year,2023/24,165
Domestic use,Barley,Crops,Million bushels,Market year,2024/25,165
Domestic use,Barley,Crops,Million bushels,Market year,2025/26,170
Domestic use,Barley,Crops,Million bushels,Market year,2026/27,175
Domestic use,Barley,Crops,Million bushels,Market year,2027/28,175
Domestic use,Barley,Crops,Million bushels,Market year,2028/29,175
Domestic use,Barley,Crops,Million bushels,Market year,2029/30,180
Domestic use,Barley,Crops,Million bushels,Market year,2030/31,180
Domestic use,Barley,Crops,Million bushels,Market year,2031/32,180
Ending stocks,Barley,Crops,Million bushels,Market year,2020/21,71
Ending stocks,Barley,Crops,Million bushels,Market year,2021/22,60
Ending stocks,Barley,Crops,Million bushels,Market year,2022/23,68
Ending stocks,Barley,Crops,Million bushels,Market year,2023/24,73
Ending stocks,Barley,Crops,Million bushels,Market year,2024/25,79
Ending stocks,Barley,Crops,Million bushels,Market year,2025/26,82
Ending stocks,Barley,Crops,Million bushels,Market year,2026/27,81
Ending stocks,Barley,Crops,Million bushels,Market year,2027/28,81
Ending stocks,Barley,Crops,Million bushels,Market year,2028/29,83
Ending stocks,Barley,Crops,Million bushels,Market year,2029/30,81
Ending stocks,Barley,Crops,Million bushels,Market year,2030/31,81
Ending stocks,Barley,Crops,Million bushels,Market year,2031/32,82
Exports,Barley,Crops,Million bushels,Market year,2020/21,14
Exports,Barley,Crops,Million bushels,Market year,2021/22,11
Exports,Barley,Crops,Million bushels,Market year,2022/23,7
Exports,Barley,Crops,Million bushels,Market year,2023/24,7
Exports,Barley,Crops,Million bushels,Market year,2024/25,7
Exports,Barley,Crops,Million bushels,Market year,2025/26,7
Exports,Barley,Crops,Million bushels,Market year,2026/27,7
Exports,Barley,Crops,Million bushels,Market year,2027/28,7
Exports,Barley,Crops,Million bushels,Market year,2028/29,7
Exports,Barley,Crops,Million bushels,Market year,2029/30,7
Exports,Barley,Crops,Million bushels,Market year,2030/31,7
Exports,Barley,Crops,Million bushels,Market year,2031/32,7
Farm price,Barley,Crops,Dollars per bushel,Market year,2020/21,4.75
Farm price,Barley,Crops,Dollars per bushel,Market year,2021/22,5.3
Farm price,Barley,Crops,Dollars per bushel,Market year,2022/23,5.15
Farm price,Barley,Crops,Dollars per bushel,Market year,2023/24,4.9
Farm price,Barley,Crops,Dollars per bushel,Market year,2024/25,4.75
Farm price,Barley,Crops,Dollars per bushel,Market year,2025/26,4.65
Farm price,Barley,Crops,Dollars per bushel,Market year,2026/27,4.5
Farm price,Barley,Crops,Dollars per bushel,Market year,2027/28,4.5
Farm price,Barley,Crops,Dollars per bushel,Market year,2028/29,4.5
Farm price,Barley,Crops,Dollars per bushel,Market year,2029/30,4.5
Farm price,Barley,Crops,Dollars per bushel,Market year,2030/31,4.5
Farm price,Barley,Crops,Dollars per bushel,Market year,2031/32,4.5
Feed & residual,Barley,Crops,Million bushels,Market year,2020/21,26
Feed & residual,Barley,Crops,Million bushels,Market year,2021/22,10
Feed & residual,Barley,Crops,Million bushels,Market year,2022/23,15
